"cnty_fips","display_name","Value","theme_range"
32003,"""Clark, (NV)""",69.6,"61.9 - 70.5 (645)"
32005,"""Douglas, (NV)""",73,"70.6 - 77.9 (646)"
32007,"""Elko, (NV)""",68.4,"61.9 - 70.5 (645)"
32009,"""Esmeralda, (NV)""",64.2,"61.9 - 70.5 (645)"
32011,"""Eureka, (NV)""",67.4,"61.9 - 70.5 (645)"
32013,"""Humboldt, (NV)""",73.4,"70.6 - 77.9 (646)"
32015,"""Lander, (NV)""",69.7,"61.9 - 70.5 (645)"
32017,"""Lincoln, (NV)""",68.8,"61.9 - 70.5 (645)"
32019,"""Lyon, (NV)""",80.2,"78.0 - 88.4 (638)"
32021,"""Mineral, (NV)""",80.6,"78.0 - 88.4 (638)"
32023,"""Nye, (NV)""",69.5,"61.9 - 70.5 (645)"
32027,"""Pershing, (NV)""",74.6,"70.6 - 77.9 (646)"
32029,"""Storey, (NV)""",77.6,"70.6 - 77.9 (646)"
32031,"""Washoe, (NV)""",75,"70.6 - 77.9 (646)"
32033,"""White Pine, (NV)""",64.5,"61.9 - 70.5 (645)"
32510,"""Carson City, (NV)""",78,"78.0 - 88.4 (638)"
35003,"""Catron, (NM)""",64.4,"61.9 - 70.5 (645)"
35006,"""Cibola, (NM)""",71.6,"70.6 - 77.9 (646)"
35013,"""Do̱a Ana, (NM)""",68,"61.9 - 70.5 (645)"
35017,"""Grant, (NM)""",57,"0.0 - 61.8 (645)"
35023,"""Hidalgo, (NM)""",63.1,"61.9 - 70.5 (645)"
35029,"""Luna, (NM)""",69.2,"61.9 - 70.5 (645)"
35031,"""McKinley, (NM)""",73.9,"70.6 - 77.9 (646)"
35043,"""Sandoval, (NM)""",75.1,"70.6 - 77.9 (646)"
35045,"""San Juan, (NM)""",73.3,"70.6 - 77.9 (646)"
35051,"""Sierra, (NM)""",63.5,"61.9 - 70.5 (645)"
35053,"""Socorro, (NM)""",62.7,"61.9 - 70.5 (645)"
35061,"""Valencia, (NM)""",70.2,"61.9 - 70.5 (645)"
41023,"""Grant, (OR)""",62.8,"61.9 - 70.5 (645)"
41025,"""Harney, (OR)""",73.1,"70.6 - 77.9 (646)"
41045,"""Malheur, (OR)""",66.3,"61.9 - 70.5 (645)"
49001,"""Beaver, (UT)""",70.1,"61.9 - 70.5 (645)"
49003,"""Box Elder, (UT)""",71.6,"70.6 - 77.9 (646)"
